iter	RMSE
0	117.0497933
1	114.6082817
2	112.6501181
3	110.8585383
4	109.330929
5	107.9686244
6	106.8384198
7	105.9099855
8	104.7880207
9	103.7627692
10	103.3033674
11	102.8433461
12	102.5814489
13	102.3362376
14	102.0377546
15	101.835731
16	101.6570868
17	101.4773937
18	101.1152558
19	101.0558488
20	100.4765449
21	100.4151746
22	100.0752253
23	100.0103132
24	99.76699105
25	99.71354825
26	99.58736464
27	99.56072763
28	99.52758065
29	99.33115978
30	99.15352701
31	99.09168784
32	99.0198242
33	98.97612737
34	98.92502082
35	98.88799172
36	98.87621884
37	98.85483414
38	98.82164695
39	98.79331891
40	98.77638557
41	98.74832156
42	98.6998089
43	98.68465767
44	98.52471148
45	98.48736594
46	98.48633683
47	98.46777649
48	98.42757565
49	98.41420324
50	98.14355122
51	98.07248703
52	98.05086489
53	98.04216172
54	97.97163993
55	97.96042663
56	97.94979367
57	97.94136709
58	97.78443453
59	97.77778844
60	97.75523882
61	97.73415398
62	97.71465507
63	97.70519392
64	97.68070872
65	97.5147098
66	97.50931893
67	97.48390434
68	97.37206324
69	97.36624083
70	97.34378803
71	97.33799343
72	97.29094598
73	97.2872955
74	97.27211661
75	97.25299625
76	97.23013848
77	97.22271087
78	97.20687132
79	97.02263453
80	97.01313573
81	96.99544718
82	96.9798061
83	96.97051125
84	96.96202227
85	96.67974639
86	96.65852122
87	96.54029337
88	96.51694247
89	96.5165515
90	96.49794316
91	96.47686998
92	96.44334321
93	96.42736673
94	96.37633448
95	96.36058543
96	96.35004399
97	96.32120078
98	96.29188756
99	96.2838893
100	96.23830049
101	96.22461311
102	96.19545408
103	96.18525451
104	96.00630921
105	95.99936165
106	95.98346362
107	95.96136647
108	95.94599651
109	95.92991225
110	95.92129579
111	95.87880946
112	95.86556508
113	95.8484906
114	95.83123129
115	95.75929202
116	95.74795445
117	95.73391676
118	95.71830082
119	95.68497919
120	95.68101309
121	95.58375554
122	95.57757764
123	95.53315437
124	95.48145422
125	95.47396692
126	95.46111325
127	95.445912
128	95.41708211
129	95.41056855
130	95.40025888
131	95.39857981
132	95.39052457
133	95.38959675
134	95.377899
135	95.3772201
136	95.33180593
137	95.3307842
138	95.32632654
139	95.31491664
140	95.29984002
141	95.29616402
142	95.28172127
143	95.26409959
144	95.22092676
145	95.08267078
146	95.07375709
147	95.06470062
148	95.05078989
149	95.04512575
150	94.85664912
151	94.84218131
152	94.74534148
153	94.74333639
154	94.73180555
155	94.72735763
156	94.72315042
157	94.70051573
158	94.69603549
159	94.68515433
160	94.66053691
161	94.6392099
162	94.63830131
163	94.56850963
164	94.56663881
165	94.55587552
166	94.5441984
167	94.52569706
168	94.49868412
169	94.4862657
170	94.47888684
171	94.4558838
172	94.45181829
173	94.44326031
174	94.434391
175	94.33474727
176	94.32919631
177	94.32397166
178	94.23787157
179	94.21186025
180	94.20104294
181	94.20040491
182	94.18666244
183	94.14004156
184	94.12809605
185	94.12024038
186	94.09787243
187	94.09061648
188	94.07788674
189	94.07123289
190	94.06174164
191	94.03592637
192	94.03064039
193	93.98701973
194	93.98084455
195	93.90360623
196	93.9021567
197	93.89552377
198	93.88942556
199	93.88228734
