iter	Passed	Remaining
0	42	8405
1	84	8409
2	134	8838
3	184	9032
4	232	9055
5	282	9128
6	330	9106
7	395	9491
8	462	9821
9	515	9791
10	564	9702
11	616	9662
12	648	9323
13	703	9348
14	761	9386
15	791	9107
16	844	9087
17	901	9118
18	953	9085
19	972	8754
20	1025	8738
21	1051	8508
22	1103	8490
23	1156	8482
24	1209	8463
25	1262	8451
26	1315	8427
27	1368	8404
28	1425	8402
29	1484	8412
30	1547	8438
31	1603	8418
32	1663	8417
33	1721	8403
34	1779	8390
35	1833	8354
36	1889	8324
37	1943	8287
38	1998	8252
39	2050	8202
40	2104	8160
41	2158	8121
42	2213	8080
43	2268	8043
44	2323	8002
45	2375	7953
46	2395	7796
47	2447	7751
48	2499	7703
49	2550	7651
50	2600	7598
51	2654	7554
52	2704	7501
53	2756	7451
54	2806	7399
55	2857	7347
56	2906	7290
57	2958	7242
58	3009	7191
59	3053	7124
60	3101	7068
61	3158	7029
62	3213	6987
63	3269	6947
64	3319	6894
65	3372	6847
66	3423	6795
67	3473	6742
68	3523	6689
69	3574	6639
70	3623	6583
71	3677	6537
72	3747	6519
73	3801	6473
74	3854	6424
75	3907	6374
76	3959	6325
77	4013	6276
78	4066	6228
79	4121	6182
80	4172	6129
81	4226	6081
82	4278	6031
83	4329	5979
84	4382	5929
85	4435	5878
86	4483	5823
87	4535	5772
88	4586	5720
89	4605	5629
90	4656	5577
91	4709	5528
92	4760	5477
93	4811	5425
94	4861	5373
95	4912	5322
96	4963	5270
97	5013	5218
98	5064	5167
99	5116	5116
100	5168	5066
101	5217	5012
102	5269	4962
103	5319	4910
104	5372	4860
105	5423	4809
106	5482	4765
107	5540	4719
108	5589	4666
109	5642	4616
110	5696	4567
111	5748	4516
112	5800	4466
113	5853	4415
114	5904	4364
115	5955	4312
116	6007	4261
117	6057	4209
118	6109	4158
119	6160	4106
120	6210	4054
121	6261	4003
122	6313	3952
123	6364	3900
124	6416	3849
125	6468	3798
126	6533	3755
127	6587	3705
128	6648	3659
129	6708	3612
130	6762	3562
131	6813	3510
132	6866	3459
133	6916	3406
134	6966	3354
135	7015	3301
136	7067	3249
137	7115	3196
138	7165	3144
139	7215	3092
140	7269	3041
141	7319	2989
142	7369	2937
143	7420	2885
144	7472	2834
145	7524	2783
146	7574	2731
147	7624	2679
148	7678	2628
149	7729	2576
150	7781	2525
151	7836	2474
152	7888	2423
153	7938	2371
154	7989	2319
155	8040	2267
156	8093	2216
157	8147	2165
158	8200	2114
159	8253	2063
160	8313	2013
161	8372	1963
162	8428	1913
163	8484	1862
164	8535	1810
165	8588	1759
166	8641	1707
167	8695	1656
168	8747	1604
169	8801	1553
170	8853	1501
171	8904	1449
172	8958	1398
173	9013	1346
174	9064	1294
175	9114	1242
176	9164	1190
177	9216	1139
178	9267	1087
179	9318	1035
180	9369	983
181	9418	931
182	9469	879
183	9522	828
184	9571	776
185	9623	724
186	9676	672
187	9729	621
188	9779	569
189	9833	517
190	9885	465
191	9938	414
192	9990	362
193	10042	310
194	10096	258
195	10146	207
196	10198	155
197	10248	103
198	10299	51
199	10352	0
